Category	Method	Endpoint	Description	Auth/Public	Request Body	Responses
Sourcing Requests	GET	/api/v1/sourcing-requests/my	Get my sourcing requests	Public		"Successfully retrieved my sourcing requests (200):
{
  ""totalElements"": 0,
  ""totalPages"": 0,
  ""pageable"": ""string"",
  ""size"": 0,
  ""content"": [],
  ""number"": 0,
  ""sort"": ""string"",
  ""numberOfElements"": 0,
  ""first"": true,
  ""last"": true,
  ""empty"": true
}

Unauthorized (401):
{
  ""totalElements"": 0,
  ""totalPages"": 0,
  ""pageable"": ""string"",
  ""size"": 0,
  ""content"": [],
  ""number"": 0,
  ""sort"": ""string"",
  ""numberOfElements"": 0,
  ""first"": true,
  ""last"": true,
  ""empty"": true
}

Forbidden - Only enterprises can access (403):
{
  ""totalElements"": 0,
  ""totalPages"": 0,
  ""pageable"": ""string"",
  ""size"": 0,
  ""content"": [],
  ""number"": 0,
  ""sort"": ""string"",
  ""numberOfElements"": 0,
  ""first"": true,
  ""last"": true,
  ""empty"": true
}"
product-controller	GET	/api/v1/products/{id}		Public		"OK (200):
{
  ""id"": ""string"",
  ""enterpriseId"": ""string"",
  ""enterpriseName"": ""string"",
  ""name"": ""string"",
  ""category"": ""string"",
  ""unit"": ""string"",
  ""basePrice"": {},
  ""description"": ""string"",
  ""imageUrl"": ""string"",
  ""attributes"": {},
  ""priceTiers"": []
}"
product-controller	GET	/api/v1/products/enterprise/me		Public		OK (200):
marketplace-controller	GET	/api/v1/marketplace/enterprises/me/offers		Public		OK (200):
marketplace-controller	GET	/api/v1/marketplace/bulk-sales		Public		OK (200):
marketplace-controller	GET	/api/v1/marketplace/bulk-sales/{id}		Public		"OK (200):
{
  ""id"": ""string"",
  ""campaignId"": ""string"",
  ""productName"": ""string"",
  ""totalQuantity"": {},
  ""expectedPrice"": {},
  ""status"": ""string"",
  ""coopName"": ""string"",
  ""attachments"": [],
  ""createdAt"": ""string""
}"
marketplace-controller	GET	/api/v1/marketplace/bulk-sales/{id}/commitments		Public		OK (200):
join-request-controller	GET	/api/v1/join-requests/status/{status}		Public		OK (200):
join-request-controller	GET	/api/v1/join-requests/my-requests		Public		OK (200):
join-request-controller	GET	/api/v1/join-requests/my-requests/status/{status}		Public		OK (200):
join-request-controller	GET	/api/v1/join-requests/all		Public		OK (200):
group-buy-controller	GET	/api/v1/group-buy/campaigns/{id}		Public		"OK (200):
{
  ""id"": ""string"",
  ""cooperativeId"": ""string"",
  ""cooperativeName"": ""string"",
  ""productId"": ""string"",
  ""productName"": ""string"",
  ""productImageUrl"": ""string"",
  ""title"": ""string"",
  ""description"": ""string"",
  ""status"": ""string"",
  ""deadlineDate"": ""string"",
  ""totalCommittedQty"": {},
  ""currentUnitPrice"": {},
  ""participationCount"": 0,
  ""progressPercent"": {},
  ""nextTierLabel"": ""string""
}"
group-buy-controller	GET	/api/v1/group-buy/campaigns/{id}/participations		Public		OK (200):
group-buy-controller	GET	/api/v1/group-buy/campaigns/{id}/participations/me		Public		"OK (200):
{
  ""id"": ""string"",
  ""farmerId"": ""string"",
  ""farmerName"": ""string"",
  ""committedQty"": {},
  ""lockedUnitPrice"": {},
  ""totalAmount"": {}
}"
group-buy-controller	GET	/api/v1/group-buy/campaigns/cooperative/me		Public		OK (200):
file-upload-controller	GET	/api/v1/files/presigned-url		Public		"OK (200):
{
  ""presignedUrl"": ""string"",
  ""publicUrl"": ""string""
}"
debug-controller	GET	/api/v1/debug/rooms		Public		OK (200):
debug-controller	GET	/api/v1/debug/messages		Public		OK (200):
feed-controller	GET	/api/v1/coops/{coopId}/feed	Get newsfeed	Public		OK (200):
cooperative-controller	GET	/api/v1/cooperatives		Public		OK (200):
cooperative-controller	GET	/api/v1/cooperatives/search		Public		OK (200):
Contract	GET	/api/v1/contracts/room/{roomId}	Lấy hợp đồng điện tử theo phòng chat	Public		"OK (200):
{
  ""id"": ""string"",
  ""roomId"": ""string"",
  ""bulkSaleId"": ""string"",
  ""productName"": ""string"",
  ""cooperativeId"": ""string"",
  ""cooperativeName"": ""string"",
  ""cooperativeAddress"": ""string"",
  ""cooperativePhone"": ""string"",
  ""cooperativeRepresentative"": ""string"",
  ""enterpriseId"": ""string"",
  ""enterpriseName"": ""string"",
  ""enterpriseAddress"": ""string"",
  ""enterprisePhone"": ""string"",
  ""enterpriseTaxCode"": ""string"",
  ""enterpriseRepresentative"": ""string"",
  ""agreedPrice"": {},
  ""agreedQuantity"": {},
  ""deliveryDate"": ""string"",
  ""terms"": ""string"",
  ""documentUrl"": ""string"",
  ""status"": ""string"",
  ""createdAt"": ""string"",
  ""updatedAt"": ""string"",
  ""enterpriseSignatoryName"": ""string"",
  ""enterpriseSigned"": true,
  ""enterpriseSignedAt"": ""string""
}"
Contract	GET	/api/v1/contracts/room/{roomId}/pdf	Tải xuống hợp đồng PDF cho phòng chat (roomId)	Public		OK (200):
Contract	GET	/api/v1/contracts/my	Lấy danh sách hợp đồng của tôi	Public		OK (200):
campaign-controller	GET	/api/v1/bulk-sales/{id}/offers		Public		OK (200):
